중앙동아리 나오려면 어떻게 해야돼요?,회장한테 말하거나 그냥 톡방 나와,,,,
창융디 평가 동료평가로만 평가되는게 아니라 교수님이 발표 보시고 평가하시는것도 들어가는거지?? 비율이 각각 얼마정도 되려나??,발표 보고 평가가 좋을 수록 그 조에 에쁠 많이 줌 아무리 동평이 좋아도 발표를 망치면 비쁠 받기도 함,,,,
LCC 많나요?,네 많음,,,,
신관 4인4실 하루에 얼마인가요,14900원이요,,,,
1학년 때 하는 코딩은 파이썬인가요?,공학계열 제외하면 파이썬만 배웁니다,,,,
수업 갈 때 뭐 챙겨가야 해요?,필통이랑 아이패드 정도,,,,
만우절에 교복 입나요?,입고 싶은 사람들만 입어요,,,,
글융은 공대인가요? 애매하네요,공대라해도 됩니다,,,,
김재광 교수님 AI시스템 빌넣되나요?,간절히 어필해보세요,,,,
인과계 가전공은 뭐죠?,가전공 따라서 새터 갑니다,,,,
컴사코는 온라인 수업인가요?,넵 그냥 아캠으로 들으면 돼요,,,,
인사캠 사람은 자과캠 얼마마다 가나요?,창융디 있을 때 주 1회 갑니다,,,,
인과계도 코딩 배우나요,네 컴사코 배웁니다,,,,
경제학과 컷이 어느정도 되나요,4.0~4.1,,,,
아캠에 뜨는 게 제 성적인가요?,그거는 절대평가 기준으로 나와서 나중에 상대평가 등수 다시 봐야 함,,,,
국제관에서 수선관까지 얼마정도 걸려요?,대충 15분에서 20분 사이로 걸립니다.,,,,
성적우수장학금 24학번 신입생은 못 받는건가요..?,"24 1학기 성장은 23 2학기 성적 기준으로 산출, 24학번은 24 2학기부터 받을 수 있음",,,,
컴사코도 재수강 가능한가요..? 개망햇는디,가능합니다~,,,,
글융이 뭔가요? ,글로벌융합학부요,,,,
24학번 복전은 2025학년 1학기부터 할 수 있는건가요?,"계열제면 3학기 이수 후.
계열제 아니면 2학기 이수 후.
Gls에서 잘 찾아보세여",,,,
"셔틀버스 수업때문은 아니라서 저 혼자 인사캠가야해서 잘모르겠는뎅 에타에 셔틀버스들어가보면 정류장위치만 나와있는데 몇시에오는지 정보는 어디서 볼수있나요??
 그리고 시간은 맨날 같은가용?",스꾸버스 앱,,,,
수강신청은 몇시에 하나요,10시에 합니다,,,,
공석대기 공석대기로 기숙사 들어가면 늦게 들어간 날짜만큼 돈 빼주나요?,사용한 날짜만큼 냅니다,,,,
팀빌딩이 뭐죠?,계열제 신입생들 오티라고 생각하면 됨,,,,
9로 시작하는 건물이 어느건물인가요?,국제관입니다,,,,
중도에서 수선관까지 걸어서 얼마정도 걸리나요,최대 15분,,,,
글로벌버디 어떻게 신청하나요?,신청서 받아서 챌린지스퀘어 성균멘토 편지쓰기로 기간맞춰서,,,,
행정실 어디에 있어요?,600주년 기념관 1층에 있어요,,,,
자과캠에는 셔틀 없나요? 학교가 너무 큰데 ,에브리바이크 타고가면 빨라요,,,,
어깨동무가 정확히 뭐하는거임?? 같은 계열끼리 하는게 좋으려나?,엘씨끼리 하는 스터디 같은 거다,,,,
1398이 뭐예요?,건학년도입니다,,,,
내일 4시 명륜에서 수업인데 율전에서 몇시정도에 출발해야 돼?,1시 반 셔틀 타,,,,
중도가 어디임? 명륜,중앙도서관 교수회관이랑 600주년기념관 사이에 있는 건물,,,,
명륜에 운동할 수 있는 데 있나요?,네 경영관이나 600주년 기념관에 헬스장 있어요,,,,
자과캠 근처 피시방 추천 자과캠 근처에 수강신청할 때 많이 가는 피시방이 어딘가요??!,아라크네 아니면 레츠,,,,
몇번 결석해야 F야?,4번 이상,,,,
성적 어디서 봐요?,성적공시기간에 GLS에 뜸,,,,
빌넣하는 법 좀 알려주세요 ㅠㅠ,메일 보내셔서 정중히 부탁드리면 됩니다,,,,
재수강해도 이전 성적 들어가나요?,전공진입 할 때는 들어가요,,,,
학교 와이파이 어케 써요??,킹고 아이디랑 비번 치셈,,,,
1학년 교양과목도 C+ 주나요?,진짜 망쳐도 시험 봤으면 잘 안 줘요,,,,
인사캠 셔틀버스 어디서 타나요?,혜화역 1번출구 앞,,,,
인자셔틀 어디서 타요?,학생회관 앞,,,,
인자셔틀 시간표 어디서 보나요?,킹고엠에 있어요,,,,
혜화역에서 학교까지 어떻게 해야 제일 빨리가나요 ….,1번출구에서 셔틀이나 종로07 타,,,,
오늘 들은 수업 출석으로 체크 됐는지 어디서 볼 수 있어..?,전자출결 앱,,,,
26508은 어디인가요?? ??,제2공학관,,,,
홍보부스는 중앙동아리만 하나요?,네 1학기는 중앙동아리만 해요,,,,
학식 메뉴 어떻게 보나요?,에타 오늘의 식단 아니면 킹고엠,,,,
1학년도 금공강 만들 수 있나요?,고명북이랑 창융디때문에 안돼요,,,,
중도 5층에도 강의실이 있나요?? 건물번호가 70인데,네 있어요 중도 3층에서 바로 옆으로 가면 5층으로 올라가는 계단으로 가면 됨,,,,
사진 동아리 추천해주세요!,sapa가 훨씬 활동이 많음,,,,
건물 번호 50이 어디인가요?,호암관,,,,
인사캠 과제도서 어디서 빌리나요?,중앙도서관 4층,,,,
헉교 계정으로 ppt나 word 사용 못하나요?,o365.skku.edu로 사용하실 수 있습니다.,,,,
졸업해도 학교 메일 쓸 수 있나요?,네 쓸 수 있습니다.,,,,
아캠 온라인 강의 수강 시간이 교수님한테도 뜨나요?,네,,,,
천원학식 어디서 먹을 수 있나요?,600주년 기념관 지하 식당,,,,
티통이 뭔가요?,티오 통합이요.,,,,
브슴(bsm)이 뭔가요?,basic science&math입니다.,,,,
의통이 뭔가요?,"창의적 글쓰기, 학술적 글쓰기, 스피치와 토론. 의사소통 과목을 말합니다.",,,,
선배들이랑 어떻게 친해져요?,"동아리, 학생회, 학회에서 선배들을 만나 친해질 수 있습니다.",,,,
본가가 멀수록 기숙사에 붙을 확률이 높나요?,거주지와의 거리와는 상관없이 성적 순으로 배정됩니다.,,,,
LC가 뭔가요?,"Learning community로, 계열제로 입학한 사람들끼리 반을 만든 겁니다.",,,,
 작년2학기때 남은 학점은 이번년도 1학기로 학점 이월이 가능한가요??,가능합니다~,,,,
4-2까지 마친 상태에서 계절학기를 수강신청할 수 있나요?,네 가능합니다,,,,
"저는 신입생인데, 돔메 신청 가능한가요?",신입생은 돔메 신청이 불가능합니다.,,,,
재수강하면 A+ 받을 수 있나요?,받을 수 없습니다. B+가 최대입니다.,,,,
복수전공 신청하고 바로 다음 학기에 복수전공 취소가 가능한가요?,네 가능합니다,,,,
"이번에 5학점만 수강신청했는데, 등록금 얼마나 내야 되나요?",4~6학점은 등록금의 1/3만 냅니다.,,,,
직권 배정 과목은 책가방에 안 담아도 되나요?,네,,,,
새터 비용 어디에 내면 되나요?,등록금 납부할 때 같이 냅니다.,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
